Name,City,State
"Sri Ramakrishna Engineering College, Coimbatore",Coimbatore,Tamil Nadu
"GH Raisoni College of Engineering, Nagpur",Nagpur,Maharashtra
"KIIT Polytechnic, Bhubaneswar",Bhubaneswar,Odisha
IIT Patna - Indian Institute of Technology,Patna,Bihar
"Kalyani Government Engineering College, Nadia",Kolkata,West Bengal
IIT Guwahati - Indian Institute of Technology,Guwahati,Assam
"Government Engineering College, Ajmer",Ajmer,Rajasthan
GGU Bilaspur - Guru Ghasidas Vishwavidyalaya,Bilaspur,Chhattisgarh
"Raksha Shakti University, Ahmedabad",Ahmedabad,Gujarat
SGSITS Indore - Shri Govindram Seksaria Institute of Technology and Science,Indore,Madhya Pradesh
"Galgotias College of Engineering and Technology, Greater Noida",Greater Noida,Uttar Pradesh
JNTUA CEA Anantapur - JNTUA College of Engineering,Anantapur,Andhra Pradesh
NIT Patna - National Institute of Technology,Patna,Bihar
"BIT Sindri, Dhanbad",Dhanbad,Jharkhand
"Guru Nanak Institutions Technical Campus, Ibrahimpatnam",Hyderabad,Telangana
"Agricultural Engineering College and Research Institute, Coimbatore",Coimbatore,Tamil Nadu
"KK Wagh Institute of Engineering Education and Research, Nashik",Nashik,Maharashtra
"Birla Institute of Technology Extension Centre, Deoghar",Deoghar,Jharkhand
SMVDU Katra - Shri Mata Vaishno Devi University,Katra,Jammu and Kashmir
"CV Raman Global University, Bhubaneswar",Bhubaneswar,Odisha
"Central University of Haryana, Mahendergarh",Mahendragarh,Haryana
VRSEC Vijayawada - Velagapudi Ramakrishna Siddhartha Engineering College,Vijayawada,Andhra Pradesh
"Sir M Visvesvaraya Institute of Technology, Bangalore",Bangalore,Karnataka
LNCT Bhopal - Lakshmi Narain College of Technology,Bhopal,Madhya Pradesh
"Dr BC Roy Engineering College, Durgapur",Durgapur,West Bengal
"Gokaraju Rangaraju Institute of Engineering and Technology, Hyderabad",Hyderabad,Telangana
"Netaji Subhas Institute of Technology, Patna",Patna,Bihar
BVRIT Narsapur - BV Raju Institute of Technology,Narsapur,Telangana
"DIT University, Dehradun",Dehradun,Uttarakhand
"Noida International University, Greater Noida",Noida,Uttar Pradesh
"DKTE Society's Textile and Engineering Institute, Ichalkaranji",Kolhapur,Maharashtra
JSS Noida - JSS Academy of Technical Education,Noida,Uttar Pradesh
"Hindusthan College of Engineering and Technology, Coimbatore",Coimbatore,Tamil Nadu
SNIST Ghatkesar - Sreenidhi Institute of Science and Technology,Yamnampet,Telangana
"Amrita School of Engineering, Amritapuri",Vallikavu,Kerala
IIT Ropar - Indian Institute of Technology,Rupnagar,Punjab
DDU Nadiad - Dharmsinh Desai University,Nadiad,Gujarat
"ICFAI Tech School, Hyderabad",Hyderabad,Telangana
JIIT Noida - Jaypee Institute of Information Technology,Noida,Uttar Pradesh
VIT Bhopal - VIT University,Bhopal,Madhya Pradesh
CCET Chandigarh - Chandigarh College of Engineering and Technology,Chandigarh,Chandigarh
"KJ Somaiya Polytechnic, Mumbai",Mumbai,Maharashtra
"Vignan's Foundation for Science Technology and Research, Guntur",Guntur,Andhra Pradesh
NIT Kurukshetra - National Institute of Technology,Kurukshetra,Haryana
NIT Durgapur - National Institute of Technology,Durgapur,West Bengal
IITRAM Ahmedabad - Institute of Infrastructure Technology Research and Management,Ahmedabad,Gujarat
"Sree Chitra Thirunal College of Engineering, Thiruvananthapuram",Thiruvananthapuram,Kerala
"Shri Guru Gobind Singhji Institute of Engineering and Technology, Vishnupuri",Vishnupuri,Maharashtra
IIT Dhanbad - Indian Institute of Technology Indian School of Mines,Dhanbad,Jharkhand
NIT Hamirpur - National Institute of Technology,Hamirpur,Himachal Pradesh
"Kongu Engineering College, Erode",Perundurai,Tamil Nadu
NIT Goa - National Institute of Technology,Ponda,Goa
KNIT Sultanpur - Kamla Nehru Institute of Technology,Sultanpur,Uttar Pradesh
"JDT Islam Polytechnic College, Kozhikode",Kozhikode,Kerala
"Annamalai University, Annamalai Nagar",Chidambaram,Tamil Nadu
"Jawaharlal Nehru Architecture and Fine Arts University School of Planning and Architecture, Hyderabad",Hyderabad,Telangana
Manipal University (MAHE) - Manipal Academy of Higher Education,Manipal,Karnataka
"Sethu Institute of Technology, Kariapatti",S.Kallupatti,Tamil Nadu
NIT Puducherry - National Institute of Technology Puducherry Karaikal,Thiruvettakudy,Puducherry
"Apeejay Stya University, Sohna",Gurugram,Haryana
NIT Uttarakhand - National Institute of Technology,Srinagar,Uttarakhand
GJU Hisar - Guru Jambheshwar University of Science and Technology,Hisar,Haryana
"Government Polytechnic, Aurangabad",Aurangabad,Maharashtra
"Central University of South Bihar, Patna",Gaya,Bihar
"Chennai Institute of Technology, Chennai",Chennai,Tamil Nadu
"Amrita School of Engineering, Bengaluru",Bangalore,Karnataka
"Government Polytechnic, Thane",Thane,Maharashtra
"Zakir Husain College of Engineering and Technology, Aligarh Muslim University, Aligarh",Aligarh,Uttar Pradesh
Vels University - Vel's Institute of Science Technology and Advanced Studies,Chennai,Tamil Nadu
"Institute of Engineering and Technology Devi Ahilya Vishwavidyalaya, Indore",Indore,Madhya Pradesh
"Government Polytechnic, Hyderabad",Hyderabad,Telangana
"Doon University, Dehradun",Dehradun,Uttarakhand
PESIT Bangalore - PES University Electronic City Campus,Bangalore,Karnataka
"National Fire Service College, Nagpur",Nagpur,Maharashtra
"Bangalore University, Bangalore",Bangalore,Karnataka
"MVJ College of Engineering, Bangalore",Bangalore,Karnataka
"School Technology, Pandit Deendayal Petroleum University, Gandhinagar",Gandhinagar,Gujarat
GPREC Kurnool - G Pulla Reddy Engineering College,Kurnool,Andhra Pradesh
"Pondicherry Engineering College, Puducherry",Pillaichavady,Puducherry
TCET Mumbai - Thakur College of Engineering and Technology,Mumbai,Maharashtra
"MKSSS's Cummins College of Engineering for Women, Pune",Pune,Maharashtra
"Adarsha College of Engineering, Angul",Angul,Odisha
MLRIT Dundigal - MLR Institute of Technology,Hyderabad,Telangana
UIET Chandigarh - University Institute of Engineering and Technology Panjab University,Chandigarh,Chandigarh
"Fr Conceicao Rodrigues College of Engineering, Mumbai",Mumbai,Maharashtra
BTKIT Dwarahat - Bipin Tripathi Kumaon Institute of Technology,Hulank Talli Mirai,Uttarakhand
PAU Ludhiana - Punjab Agricultural University,Ludhiana,Punjab
LBRCE Mylavaram - Lakireddy Bali Reddy College of Engineering,Mylavaram,Andhra Pradesh
"Aryabhatt Institute of Technology, Delhi",Delhi,Delhi
GEC Barton Hill - Government Engineering College Barton Hill,Thiruvananthapuram,Kerala
"Panimalar Engineering College, Chennai",Chennai,Tamil Nadu
"Carmel Polytechnic College, Alappuzha",Alappuzha,Kerala
"NIMS University, Jaipur",Jaipur,Rajasthan
"BMS College of Architecture, Bengaluru",Bangalore,Karnataka
"Srinivas Institute of Technology, Mangalore",Arkula,Karnataka
MANNU Hyderabad - Maulana Azad National Urdu University,Hyderabad,Telangana
MIT Muzaffarpur - Muzaffarpur Institute of Technology,Muzaffarpur,Bihar
"Central University of Rajasthan, Ajmer",Bandar Sindri,Rajasthan
IEM Kolkata - Institute of Engineering and Management,Kolkata,West Bengal
CMRIT Bangalore - CMR Institute of Technology,Bangalore,Karnataka
IIITDM Kancheepuram - Indian Institute of Information Technology Design and Manufacturing,Chennai,Tamil Nadu
"GLA University, Mathura",Mathura,Uttar Pradesh
"Government College of Engineering and Research, Pune",Awasari Khurd,Maharashtra
"Jaipur National University, Jaipur",Jaipur,Rajasthan
GEC Rajkot - Government Engineering College,Rajkot,Gujarat
"Academy of Technology, Hooghly",Hooghly,West Bengal
"Vel Tech Rangarajan Dr Sagunthala R and D Institute of Science and Technology, Chennai",Chennai,Tamil Nadu
"Amity University, Mumbai",Navi Mumbai,Maharashtra
"Saveetha Engineering College, Chennai",Chennai,Tamil Nadu
"Sri Sai Ram Engineering College, Chennai",Chennai,Tamil Nadu
"Alagappa College of Technology, Chennai",Chennai,Tamil Nadu
GITAM University - GITAM Institute of Technology,Visakhapatnam,Andhra Pradesh
"Jaypee Institute of Information Technology, Sector 128, Noida",Noida,Uttar Pradesh
"Techno Main, Salt Lake",Kolkata,West Bengal
RNSIT Bangalore - RNS Institute of Technology,Bangalore,Karnataka
RTMNU Nagpur - Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur,Maharashtra
KITSW Warangal - Kakatiya Institute of Technology and Science,Warangal,Telangana
SPCE Mumbai - Sardar Patel College of Engineering,Mumbai,Maharashtra
"LJ Institute of Engineering and Technology, Ahmedabad",Ahmedabad,Gujarat
"Government Polytechnic College, Coimbatore",Coimbatore,Tamil Nadu
VJIT Hyderabad - Vidya Jyothi Institute of Technology,Hyderabad,Telangana
"MIT Academy of Engineering, Pune",Pune,Maharashtra
"Amity University, Noida",Noida,Uttar Pradesh
REC Bijnor - Rajkiya Engineering College,Bijnor,Uttar Pradesh
"University of Rajasthan, Jaipur",Jaipur,Rajasthan
"MIT School of Engineering, Pune",Pune,Maharashtra
"Toc H Institute of Science and Technology, Ernakulam",Ernakulam,Kerala
BNMIT Bangalore - BNM Institute of Technology,Bangalore,Karnataka
VSSUT Sambalpur - Veer Surendra Sai University of Technology,Burla,Odisha
"Government Polytechnic For Girls, Ahmedabad",Ahmedabad,Gujarat
"Vishnu Institute of Technology, Bhimavaram",Bhimavaram,Andhra Pradesh
"Mahatma Phule Krishi Vidyapeeth, Rahuri",Digras,Maharashtra
"Central Institute of Tool Design, Hyderabad",Hyderabad,Telangana
"SRM University AP, Amaravati",Kuragallu,Andhra Pradesh
"G Narayanamma Institute of Technology and Science For Women, Hyderabad",Hyderabad,Telangana
"Marine Engineering and Research Institute, Kolkata",Kolkata,West Bengal
"Jalpaiguri Government Engineering College, Jalpaiguri",Jalpaiguri,West Bengal
"Aliah University, Kolkata",Kolkata,West Bengal
"Agnel Polytechnic, Goa",Goa,Goa
"KK University, Nalanda",Nalanda,Bihar
"SRM University, Delhi-NCR, Sonepat",Sonipat,Haryana
"University Institute of Engineering and Technology, Maharshi Dayanand University, Rohtak",Rohtak,Haryana
"Indian Naval Academy, Kannur",Kannur,Kerala
"The NorthCap University, Gurgaon",Gurgaon,Haryana
MACE Kothamangalam - Mar Athanasius College of Engineering,Kothamangalam,Kerala
"Abacus Institute of Engineering and Management, Hooghly",Hooghly,West Bengal
"SNS College of Technology, Coimbatore",Kurumbapalayam,Tamil Nadu
KMIT Hyderabad - Keshav Memorial Institute of Technology,Hyderabad,Telangana
"Silver Oak College of Engineering and Technology, Ahmedabad",Ahmedabad,Gujarat
"Shri Bhagubhai Mafatlal Polytechnic, Mumbai",Mumbai,Maharashtra
MITS Gwalior - Madhav Institute of Technology and Science,Gwalior,Madhya Pradesh
"Central University of Jharkhand, Ranchi",Ranchi,Jharkhand
SDMCET Dharwad - SDM College of Engineering and Technology,Dharwad,Karnataka
"Bharath Institute of Higher Education and Research, Chennai",Chennai,Tamil Nadu
"Ahmedabad University, Ahmedabad",Ahmedabad,Gujarat
"Laxminarayan Institute of Technology, Nagpur",Nagpur,Maharashtra
"Rajiv Gandhi Institute of Technology, Kottayam",Kottayam,Kerala
NIT Jamshedpur - National Institute of Technology,Jamshedpur,Jharkhand
"Vidyavardhaka College of Engineering, Mysore",Mysuru,Karnataka
"Sri Padmavati Mahila Visvavidyalayam, Tirupati",Tirupati,Andhra Pradesh
"JS University, Shikohabad",Shikohabad,Uttar Pradesh
"ACS College of Engineering, Bangalore",Bangalore,Karnataka
"RMK Engineering College, Thiruvallur",Tiruvallur,Tamil Nadu
"Gujarat Forensic Sciences University, Gandhinagar",Gandhinagar,Gujarat
BHU Varanasi - Banaras Hindu University,Varanasi,Uttar Pradesh
SVCE Sriperumbudur - Sri Venkateswara College of Engineering,Kanchipuram,Tamil Nadu
SPA Vijayawada - School of Planning and Architecture,Velpuru,Andhra Pradesh
